freq (Hz) Run #25	Angle Amp (rad) Run #25
0.52	
	3.21
0.52	
	2.42
0.52	
	2.79
0.52	
	2.75
0.52	
	2.62
0.51	
	2.67
0.51	
	2.54
0.51	
	2.55
0.50	
	2.51
0.50	
	2.50
0.49	
	2.42
0.49	
	2.39
0.48	
	2.34
0.48	
	2.31
0.47	
	2.30
0.47	
	2.23
0.47	
	2.22
0.46	
	2.21
0.46	
	2.13
0.45	
	2.07
0.45	
	2.11
0.44	
	2.00
0.44	
	2.04
0.44	
	1.98
0.43	
	1.93
0.43	
	1.88
0.42	
	1.91
0.42	
	1.84
0.41	
	1.82
0.41	
	1.82
0.40	
	1.75
0.40	
	1.74
0.39	
	1.73
0.39	
	1.73
0.38	
	1.67
0.37	
	1.70
0.37	
	1.69
0.36	
	1.73
0.36	
	1.74
0.35	
	1.77
0.35	
	1.87
0.34	
	1.91
0.33	
	2.01
0.33	
	2.07
0.32	
	2.09
0.31	
	2.07
0.31	
	2.00
0.30	
	1.90
0.29	
	1.86
0.29	
	1.78
0.28	
	1.75
0.27	
	1.70
0.27	
	1.66
0.26	
	1.63
0.25	
	1.58
