Time (s) Auto,Angle (rad) Run #25
18.6,-3.242
18.65,-2.98
18.7,-2.677
18.75,-2.342
18.8,-1.984
18.85,-1.61
18.9,-1.23
18.95,-0.85
19,-0.474
19.05,-0.115
19.1,0.225
19.15,0.536
19.2,0.812
19.25,1.051
19.3,1.243
19.35,1.381
19.4,1.458
19.45,1.47
19.5,1.417
19.55,1.301
19.6,1.125
19.65,0.895
19.7,0.617
19.75,0.297
19.8,-0.058
19.85,-0.441
19.9,-0.842
19.95,-1.25
20,-1.657
20.05,-2.051
20.1,-2.422
20.15,-2.76
20.2,-3.057
20.25,-3.303
20.3,-3.492
20.35,-3.619
20.4,-3.679
20.45,-3.673
20.5,-3.6
20.55,-3.465
20.6,-3.277
20.65,-3.038
20.7,-2.76
20.75,-2.446
20.8,-2.106
20.85,-1.75
20.9,-1.384
20.95,-1.015
21,-0.649
21.05,-0.292
21.1,0.047
21.15,0.363
21.2,0.649
21.25,0.9
21.3,1.111
21.35,1.275
21.4,1.384
21.45,1.433
21.5,1.418
21.55,1.34
21.6,1.202
21.65,1.007
21.7,0.763
21.75,0.473
21.8,0.143
21.85,-0.22
21.9,-0.605
21.95,-1.005
22,-1.409
22.05,-1.806
22.1,-2.188
22.15,-2.543
22.2,-2.864
22.25,-3.138
22.3,-3.36
22.35,-3.525
22.4,-3.625
22.45,-3.662
22.5,-3.63
22.55,-3.536
22.6,-3.385
22.65,-3.181
22.7,-2.931
22.75,-2.644
22.8,-2.326
22.85,-1.985
22.9,-1.632
22.95,-1.269
23,-0.906
23.05,-0.55
23.1,-0.204
23.15,0.121
23.2,0.423
23.25,0.693
23.3,0.928
23.35,1.123
23.4,1.269
23.45,1.362
23.5,1.395
23.55,1.368
23.6,1.28
23.65,1.136
23.7,0.939
23.75,0.694
23.8,0.408
23.85,0.083
23.9,-0.27
23.95,-0.646
24,-1.034
24.05,-1.426
24.1,-1.81
24.15,-2.179
24.2,-2.523
24.25,-2.829
24.3,-3.094
24.35,-3.308
24.4,-3.467
24.45,-3.566
24.5,-3.6
24.55,-3.572
24.6,-3.486
24.65,-3.343
24.7,-3.149
24.75,-2.914
24.8,-2.639
24.85,-2.337
24.9,-2.012
24.95,-1.673
25,-1.326
25.05,-0.975
25.1,-0.631
25.15,-0.297
25.2,0.02
25.25,0.316
25.3,0.584
25.35,0.82
25.4,1.019
25.45,1.177
25.5,1.285
25.55,1.338
25.6,1.335
25.65,1.272
25.7,1.155
25.75,0.983
25.8,0.763
25.85,0.5
25.9,0.198
25.95,-0.138
26,-0.498
26.05,-0.875
26.1,-1.258
26.15,-1.641
26.2,-2.012
26.25,-2.362
26.3,-2.683
26.35,-2.964
26.4,-3.2
26.45,-3.382
26.5,-3.508
26.55,-3.57
26.6,-3.572
26.65,-3.514
26.7,-3.398
26.75,-3.23
26.8,-3.016
26.85,-2.761
26.9,-2.476
26.95,-2.163
27,-1.835
27.05,-1.494
27.1,-1.148
27.15,-0.804
27.2,-0.468
27.25,-0.145
27.3,0.16
27.35,0.44
27.4,0.69
27.45,0.906
27.5,1.085
27.55,1.219
27.6,1.301
27.65,1.329
27.7,1.297
27.75,1.211
27.8,1.07
27.85,0.88
27.9,0.642
27.95,0.364
28,0.05
28.05,-0.292
28.1,-0.657
28.15,-1.032
28.2,-1.414
28.25,-1.788
28.3,-2.147
28.35,-2.483
28.4,-2.785
28.45,-3.046
28.5,-3.259
28.55,-3.418
28.6,-3.519
28.65,-3.559
28.7,-3.539
28.75,-3.459
28.8,-3.325
28.85,-3.142
28.9,-2.917
28.95,-2.655
29,-2.362
29.05,-2.048
29.1,-1.72
29.15,-1.382
29.2,-1.043
29.25,-0.708
29.3,-0.382
29.35,-0.071
29.4,0.22
29.45,0.485
29.5,0.719
29.55,0.922
29.6,1.084
29.65,1.203
29.7,1.272
29.75,1.288
29.8,1.25
29.85,1.158
29.9,1.015
29.95,0.826
30,0.592
30.05,0.319
30.1,0.011
30.15,-0.324
30.2,-0.679
30.25,-1.046
30.3,-1.415
30.35,-1.78
30.4,-2.13
30.45,-2.455
30.5,-2.75
30.55,-3.003
30.6,-3.211
30.65,-3.368
30.7,-3.468
30.75,-3.509
30.8,-3.492
30.85,-3.42
30.9,-3.294
30.95,-3.121
31,-2.906
31.05,-2.656
31.1,-2.377
31.15,-2.075
31.2,-1.759
31.25,-1.434
31.3,-1.106
31.35,-0.781
31.4,-0.463
31.45,-0.159
31.5,0.127
31.55,0.391
31.6,0.627
31.65,0.831
31.7,1.001
31.75,1.131
31.8,1.214
31.85,1.249
31.9,1.23
31.95,1.159
32,1.038
32.05,0.87
32.1,0.657
32.15,0.404
32.2,0.115
32.25,-0.204
32.3,-0.547
32.35,-0.903
32.4,-1.268
32.45,-1.63
32.5,-1.982
32.55,-2.314
32.6,-2.619
32.65,-2.886
32.7,-3.112
32.75,-3.289
32.8,-3.412
32.85,-3.478
32.9,-3.487
32.95,-3.438
33,-3.338
33.05,-3.187
33.1,-2.994
33.15,-2.763
33.2,-2.501
33.25,-2.213
33.3,-1.909
33.35,-1.591
33.4,-1.269
33.45,-0.947
33.5,-0.631
33.55,-0.325
33.6,-0.035
33.65,0.236
33.7,0.481
33.75,0.699
33.8,0.884
33.85,1.034
33.9,1.142
33.95,1.205
34,1.219
34.05,1.181
34.1,1.095
34.15,0.958
34.2,0.779
34.25,0.556
34.3,0.297
34.35,0.003
34.4,-0.317
34.45,-0.658
34.5,-1.01
34.55,-1.368
34.6,-1.72
34.65,-2.061
34.7,-2.38
34.75,-2.669
34.8,-2.922
34.85,-3.131
34.9,-3.291
34.95,-3.399
35,-3.451
35.05,-3.446
35.1,-3.388
35.15,-3.28
35.2,-3.126
35.25,-2.93
35.3,-2.7
35.35,-2.439
35.4,-2.157
35.45,-1.858
35.5,-1.549
35.55,-1.236
35.6,-0.924
35.65,-0.617
35.7,-0.322
35.75,-0.042
35.8,0.218
35.85,0.456
35.9,0.664
35.95,0.844
36,0.99
36.05,1.096
36.1,1.159
36.15,1.177
36.2,1.145
36.25,1.065
36.3,0.939
36.35,0.771
36.4,0.562
36.45,0.314
36.5,0.035
36.55,-0.273
36.6,-0.603
36.65,-0.946
36.7,-1.296
36.75,-1.641
36.8,-1.978
36.85,-2.295
36.9,-2.587
36.95,-2.842
37,-3.057
37.05,-3.226
37.1,-3.344
37.15,-3.409
37.2,-3.42
37.25,-3.377
37.3,-3.283
37.35,-3.143
37.4,-2.964
37.45,-2.747
37.5,-2.501
37.55,-2.229
37.6,-1.942
37.65,-1.643
37.7,-1.337
37.75,-1.03
37.8,-0.729
37.85,-0.435
37.9,-0.156
37.95,0.108
38,0.35
38.05,0.567
38.1,0.756
38.15,0.913
38.2,1.035
38.25,1.117
38.3,1.155
38.35,1.147
38.4,1.089
38.45,0.986
38.5,0.839
38.55,0.65
38.6,0.424
38.65,0.162
38.7,-0.132
38.75,-0.448
38.8,-0.781
38.85,-1.123
38.9,-1.467
38.95,-1.805
39,-2.128
39.05,-2.428
39.1,-2.7
39.15,-2.933
39.2,-3.123
39.25,-3.266
39.3,-3.358
39.35,-3.396
39.4,-3.382
39.45,-3.318
39.5,-3.204
39.55,-3.049
39.6,-2.856
39.65,-2.631
39.7,-2.38
39.75,-2.106
39.8,-1.821
39.85,-1.527
39.9,-1.228
39.95,-0.933
40,-0.642
40.05,-0.363
40.1,-0.097
40.15,0.149
40.2,0.375
40.25,0.576
40.3,0.751
40.35,0.894
40.4,1.002
40.45,1.074
40.5,1.106
40.55,1.095
40.6,1.038
40.65,0.938
40.7,0.798
40.75,0.616
40.8,0.397
40.85,0.145
40.9,-0.14
40.95,-0.446
41,-0.77
41.05,-1.103
41.1,-1.44
41.15,-1.772
41.2,-2.089
41.25,-2.386
41.3,-2.655
41.35,-2.887
41.4,-3.079
41.45,-3.226
41.5,-3.322
41.55,-3.366
41.6,-3.36
41.65,-3.302
41.7,-3.198
41.75,-3.052
41.8,-2.867
41.85,-2.652
41.9,-2.408
41.95,-2.144
42,-1.866
42.05,-1.579
42.1,-1.286
42.15,-0.996
42.2,-0.71
42.25,-0.435
42.3,-0.173
42.35,0.074
42.4,0.298
42.45,0.501
42.5,0.679
42.55,0.826
42.6,0.942
42.65,1.024
42.7,1.068
42.75,1.07
42.8,1.03
42.85,0.949
42.9,0.826
42.95,0.664
43,0.465
43.05,0.232
43.1,-0.031
43.15,-0.32
43.2,-0.63
43.25,-0.952
43.3,-1.28
43.35,-1.605
43.4,-1.923
43.45,-2.223
43.5,-2.499
43.55,-2.744
43.6,-2.952
43.65,-3.116
43.7,-3.237
43.75,-3.308
43.8,-3.329
43.85,-3.3
43.9,-3.223
43.95,-3.104
44,-2.947
44.05,-2.755
44.1,-2.535
44.15,-2.29
44.2,-2.028
44.25,-1.755
44.3,-1.475
44.35,-1.192
44.4,-0.913
44.45,-0.639
44.5,-0.377
44.55,-0.127
44.6,0.105
44.65,0.319
44.7,0.509
44.75,0.675
44.8,0.814
44.85,0.922
44.9,0.996
44.95,1.035
45,1.034
45.05,0.993
45.1,0.913
45.15,0.792
45.2,0.633
45.25,0.437
45.3,0.207
45.35,-0.053
45.4,-0.339
45.45,-0.646
45.5,-0.964
45.55,-1.288
45.6,-1.612
45.65,-1.926
45.7,-2.223
45.75,-2.496
45.8,-2.739
45.85,-2.945
