,time(s),angle(rad)
0,0.0,0.0
1,0.05,0.865
2,0.1,1.646
3,0.15,2.265
4,0.2,2.663
5,0.25,2.8
6,0.3,2.663
7,0.35,2.266
8,0.4,1.647
9,0.45,0.867
10,0.5,0.002
11,0.55,-0.863
12,0.6,-1.644
13,0.65,-2.263
14,0.7,-2.662
15,0.75,-2.8
16,0.8,-2.665
17,0.85,-2.269
18,0.9,-1.651
19,0.95,-0.872
20,1.0,-0.008
21,1.05,0.857
22,1.1,1.638
23,1.15,2.259
24,1.2,2.659
25,1.25,2.8
26,1.3,2.667
27,1.35,2.274
28,1.4,1.659
29,1.45,0.882
30,1.5,0.019
31,1.55,-0.846
32,1.6,-1.628
33,1.65,-2.252
34,1.7,-2.655
35,1.75,-2.8
36,1.8,-2.671
37,1.85,-2.282
38,1.9,-1.67
39,1.95,-0.896
40,2.0,-0.034
41,2.05,0.831
42,2.1,1.615
43,2.15,2.242
44,2.2,2.65
45,2.25,2.8
46,2.3,2.677
47,2.35,2.293
48,2.4,1.685
49,2.45,0.914
50,2.5,0.054
51,2.55,-0.812
52,2.6,-1.599
53,2.65,-2.229
54,2.7,-2.643
55,2.75,-2.799
56,2.8,-2.683
57,2.85,-2.306
58,2.9,-1.704
59,2.95,-0.936
60,3.0,-0.077
61,3.05,0.789
62,3.1,1.578
63,3.15,2.214
64,3.2,2.634
65,3.25,2.799
66,3.3,2.69
67,3.35,2.321
68,3.4,1.725
69,3.45,0.962
70,3.5,0.106
71,3.55,-0.761
72,3.6,-1.554
73,3.65,-2.196
74,3.7,-2.624
75,3.75,-2.797
76,3.8,-2.699
77,3.85,-2.338
78,3.9,-1.75
79,3.95,-0.993
80,4.0,-0.138
81,4.05,0.729
82,4.1,1.526
83,4.15,2.174
84,4.2,2.612
85,4.25,2.796
86,4.3,2.708
87,4.35,2.358
88,4.4,1.778
89,4.45,1.027
90,4.5,0.175
91,4.55,-0.693
92,4.6,-1.494
93,4.65,-2.15
94,4.7,-2.598
95,4.75,-2.793
96,4.8,-2.718
97,4.85,-2.379
98,4.9,-1.81
99,4.95,-1.065
100,5.0,-0.217
101,5.05,0.652
102,5.1,1.458
103,5.15,2.122
104,5.2,2.581
105,5.25,2.79
106,5.3,2.728
107,5.35,2.402
108,5.4,1.844
109,5.45,1.107
110,5.5,0.262
111,5.55,-0.607
112,5.6,-1.418
113,5.65,-2.091
114,5.7,-2.562
115,5.75,-2.785
116,5.8,-2.739
117,5.85,-2.427
118,5.9,-1.881
119,5.95,-1.152
120,6.0,-0.313
121,6.05,0.557
122,6.1,1.373
123,6.15,2.057
124,6.2,2.541
125,6.25,2.779
126,6.3,2.749
127,6.35,2.453
128,6.4,1.92
129,6.45,1.202
130,6.5,0.367
131,6.55,-0.503
132,6.6,-1.325
133,6.65,-2.018
134,6.7,-2.517
135,6.75,-2.772
136,6.8,-2.759
137,6.85,-2.481
138,6.9,-1.962
139,6.95,-1.254
140,7.0,-0.425
141,7.05,0.445
142,7.1,1.272
143,7.15,1.976
144,7.2,2.489
145,7.25,2.763
146,7.3,2.769
147,7.35,2.509
148,7.4,2.006
149,7.45,1.31
150,7.5,0.488
151,7.55,-0.381
152,7.6,-1.214
153,7.65,-1.929
154,7.7,-2.459
155,7.75,-2.751
156,7.8,-2.778
157,7.85,-2.538
158,7.9,-2.052
159,7.95,-1.369
160,8.0,-0.555
161,8.05,0.314
162,8.1,1.152
163,8.15,1.879
164,8.2,2.425
165,8.25,2.737
166,8.3,2.786
167,8.35,2.567
168,8.4,2.1
169,8.45,1.432
170,8.5,0.625
171,8.55,-0.241
172,8.6,-1.085
173,8.65,-1.823
174,8.7,-2.387
175,8.75,-2.721
176,8.8,-2.793
177,8.85,-2.596
178,8.9,-2.15
179,8.95,-1.497
180,9.0,-0.7
181,9.05,0.164
182,9.1,1.013
183,9.15,1.764
184,9.2,2.345
185,9.25,2.701
186,9.3,2.797
187,9.35,2.625
188,9.4,2.2
189,9.45,1.564
190,9.5,0.778
191,9.55,-0.083
192,9.6,-0.936
193,9.65,-1.699
194,9.7,-2.299
195,9.75,-2.678
196,9.8,-2.8
197,9.85,-2.653
198,9.9,-2.252
199,9.95,-1.634
200,10.0,-0.86
201,10.05,-0.003
202,10.1,0.854
203,10.15,1.629
204,10.2,2.248
205,10.25,2.651
206,10.3,2.8
207,10.35,2.68
208,10.4,2.303
209,10.45,1.706
210,10.5,0.945
211,10.55,0.093
212,10.6,-0.767
213,10.65,-1.554
214,10.7,-2.192
215,10.75,-2.62
216,10.8,-2.796
217,10.85,-2.705
218,10.9,-2.355
219,10.95,-1.779
220,11.0,-1.033
221,11.05,-0.188
222,11.1,0.675
223,11.15,1.474
224,11.2,2.131
225,11.25,2.584
226,11.3,2.79
227,11.35,2.729
228,11.4,2.407
229,11.45,1.854
230,11.5,1.124
231,11.55,0.287
232,11.6,-0.578
233,11.65,-1.388
234,11.7,-2.064
235,11.75,-2.544
236,11.8,-2.78
237,11.85,-2.75
238,11.9,-2.457
239,11.95,-1.93
240,12.0,-1.218
241,12.05,-0.389
242,12.1,0.476
243,12.15,1.296
244,12.2,1.992
245,12.25,2.498
246,12.3,2.765
247,12.35,2.768
248,12.4,2.506
249,12.45,2.006
250,12.5,1.314
251,12.55,0.496
252,12.6,-0.369
253,12.65,-1.199
254,12.7,-1.914
255,12.75,-2.446
256,12.8,-2.745
257,12.85,-2.782
258,12.9,-2.554
259,12.95,-2.082
260,13.0,-1.411
261,13.05,-0.606
262,13.1,0.257
263,13.15,1.095
264,13.2,1.829
265,13.25,2.389
266,13.3,2.721
267,13.35,2.793
268,13.4,2.599
269,13.45,2.158
270,13.5,1.51
271,13.55,0.719
272,13.6,-0.14
273,13.65,-0.986
274,13.7,-1.738
275,13.75,-2.325
276,13.8,-2.69
277,13.85,-2.799
278,13.9,-2.641
279,13.95,-2.232
280,14.0,-1.611
281,14.05,-0.836
282,14.1,0.019
283,14.15,0.871
284,14.2,1.641
285,14.25,2.254
286,14.3,2.653
287,14.35,2.8
288,14.4,2.68
289,14.45,2.305
290,14.5,1.711
291,14.55,0.955
292,14.6,0.107
293,14.65,-0.75
294,14.7,-1.536
295,14.75,-2.176
296,14.8,-2.61
297,14.85,-2.795
298,14.9,-2.714
299,14.95,-2.376
300,15.001,-1.812
301,15.051,-1.076
302,15.101,-0.237
303,15.151,0.623
304,15.201,1.425
305,15.251,2.091
306,15.301,2.559
307,15.351,2.783
308,15.401,2.744
309,15.451,2.444
310,15.501,1.912
311,15.551,1.198
312,15.601,0.371
313,15.651,-0.491
314,15.701,-1.307
315,15.751,-1.998
316,15.801,-2.5
317,15.851,-2.765
318,15.901,-2.768
319,15.951,-2.508
320,16.001,-2.01
321,16.051,-1.322
322,16.101,-0.509
323,16.151,0.353
324,16.201,1.181
325,16.251,1.897
326,16.301,2.434
327,16.351,2.74
328,16.401,2.786
329,16.451,2.568
330,16.501,2.107
331,16.551,1.447
332,16.601,0.649
333,16.651,-0.21
334,16.701,-1.049
335,16.751,-1.788
336,16.801,-2.359
337,16.851,-2.706
338,16.901,-2.797
339,16.951,-2.623
340,17.001,-2.201
341,17.051,-1.571
342,17.101,-0.792
343,17.151,0.062
344,17.201,0.909
345,17.251,1.671
346,17.301,2.275
347,17.351,2.663
348,17.401,2.8
349,17.451,2.672
350,17.501,2.291
351,17.551,1.694
352,17.601,0.937
353,17.651,0.091
354,17.701,-0.763
355,17.751,-1.545
356,17.801,-2.181
357,17.851,-2.612
358,17.901,-2.795
359,17.951,-2.714
360,18.001,-2.377
361,18.051,-1.816
362,18.101,-1.083
363,18.151,-0.248
364,18.201,0.61
365,18.251,1.411
366,18.301,2.079
367,18.351,2.55
368,18.401,2.781
369,18.451,2.749
370,18.501,2.458
371,18.551,1.935
372,18.601,1.23
373,18.651,0.408
374,18.701,-0.451
375,18.751,-1.269
376,18.801,-1.966
377,18.851,-2.478
378,18.901,-2.757
379,18.951,-2.776
380,19.001,-2.533
381,19.051,-2.051
382,19.101,-1.376
383,19.151,-0.572
384,19.201,0.286
385,19.251,1.118
386,19.301,1.844
387,19.351,2.396
388,19.401,2.722
389,19.451,2.793
390,19.501,2.6
391,19.551,2.163
392,19.601,1.522
393,19.651,0.737
394,19.701,-0.116
395,19.751,-0.959
396,19.801,-1.711
397,19.851,-2.302
398,19.901,-2.677
399,19.951,-2.8
400,20.001,-2.659
401,20.051,-2.269
402,20.101,-1.665
403,20.151,-0.905
404,20.201,-0.059
405,20.251,0.792
406,20.301,1.568
407,20.351,2.197
408,20.401,2.62
409,20.451,2.796
410,20.501,2.71
411,20.551,2.369
412,20.601,1.805
413,20.651,1.072
414,20.701,0.238
415,20.751,-0.618
416,20.801,-1.416
417,20.851,-2.081
418,20.901,-2.55
419,20.951,-2.781
420,21.001,-2.75
421,21.051,-2.461
422,21.101,-1.941
423,21.151,-1.239
424,21.201,-0.421
425,21.251,0.436
426,21.301,1.253
427,21.351,1.952
428,21.401,2.468
429,21.451,2.753
430,21.501,2.779
431,21.551,2.545
432,21.601,2.072
433,21.651,1.405
434,21.701,0.606
435,21.751,-0.249
436,21.801,-1.081
437,21.851,-1.812
438,21.901,-2.373
439,21.951,-2.711
440,22.001,-2.796
441,22.051,-2.619
442,22.101,-2.196
443,22.151,-1.568
444,22.201,-0.793
445,22.251,0.056
446,22.301,0.9
447,22.351,1.66
448,22.401,2.264
449,22.451,2.656
450,22.501,2.8
451,22.551,2.681
452,22.601,2.312
453,22.651,1.727
454,22.701,0.98
455,22.751,0.141
456,22.801,-0.71
457,22.851,-1.496
458,22.901,-2.141
459,22.951,-2.586
460,23.001,-2.79
461,23.051,-2.732
462,23.101,-2.419
463,23.151,-1.881
464,23.201,-1.166
465,23.251,-0.343
466,23.301,0.513
467,23.351,1.32
468,23.401,2.004
469,23.451,2.501
470,23.501,2.765
471,23.551,2.77
472,23.601,2.516
473,23.651,2.028
474,23.701,1.35
475,23.751,0.546
476,23.801,-0.308
477,23.851,-1.134
478,23.901,-1.854
479,23.951,-2.401
480,24.001,-2.724
481,24.051,-2.793
482,24.101,-2.601
483,24.151,-2.167
484,24.201,-1.53
485,24.251,-0.751
486,24.301,0.098
487,24.351,0.937
488,24.401,1.69
489,24.451,2.285
490,24.501,2.667
491,24.551,2.8
492,24.601,2.672
493,24.651,2.296
494,24.701,1.706
495,24.751,0.956
496,24.801,0.118
497,24.851,-0.731
498,24.901,-1.512
499,24.951,-2.152
500,25.001,-2.592
501,25.051,-2.791
502,25.101,-2.729
503,25.151,-2.414
504,25.201,-1.874
505,25.251,-1.16
506,25.301,-0.337
507,25.351,0.516
508,25.401,1.322
509,25.451,2.004
510,25.501,2.5
511,25.551,2.764
512,25.601,2.77
513,25.651,2.519
514,25.701,2.034
515,25.751,1.36
516,25.801,0.559
517,25.851,-0.294
518,25.901,-1.119
519,25.951,-1.84
520,26.001,-2.391
521,26.051,-2.719
522,26.101,-2.794
523,26.151,-2.61
524,26.201,-2.184
525,26.251,-1.555
526,26.301,-0.781
527,26.351,0.065
528,26.401,0.905
529,26.451,1.661
530,26.501,2.263
531,26.551,2.654
532,26.601,2.8
533,26.651,2.685
534,26.701,2.322
535,26.751,1.743
536,26.801,1.002
537,26.851,0.169
538,26.901,-0.68
539,26.951,-1.466
540,27.001,-2.116
541,27.051,-2.57
542,27.101,-2.785
543,27.151,-2.742
544,27.201,-2.445
545,27.251,-1.922
546,27.301,-1.22
547,27.351,-0.405
548,27.401,0.447
549,27.451,1.258
550,27.501,1.952
551,27.551,2.465
552,27.601,2.75
553,27.651,2.781
554,27.701,2.554
555,27.751,2.09
556,27.801,1.433
557,27.851,0.644
558,27.901,-0.206
559,27.951,-1.036
560,28.001,-1.77
561,28.051,-2.34
562,28.101,-2.694
563,28.151,-2.799
564,28.201,-2.644
565,28.251,-2.246
566,28.301,-1.639
567,28.351,-0.881
568,28.401,-0.042
569,28.451,0.802
570,28.501,1.571
571,28.551,2.195
572,28.601,2.616
573,28.651,2.795
574,28.701,2.716
575,28.751,2.386
576,28.801,1.836
577,28.851,1.116
578,28.901,0.293
579,28.951,-0.557
580,29.001,-1.356
581,29.051,-2.029
582,29.101,-2.515
583,29.151,-2.768
584,29.201,-2.767
585,29.251,-2.509
586,29.301,-2.02
587,29.351,-1.345
588,29.401,-0.546
589,29.451,0.304
590,29.501,1.125
591,29.551,1.843
592,29.601,2.391
593,29.651,2.718
594,29.701,2.795
595,29.751,2.613
596,29.801,2.191
597,29.851,1.567
598,29.901,0.799
599,29.951,-0.043
600,30.001,-0.881
601,30.051,-1.638
602,30.101,-2.244
603,30.151,-2.643
604,30.201,-2.799
605,30.251,-2.696
606,30.301,-2.346
607,30.351,-1.779
608,30.401,-1.049
609,30.451,-0.222
610,30.501,0.626
611,30.551,1.415
612,30.601,2.075
613,30.651,2.543
614,30.701,2.777
615,30.751,2.756
616,30.801,2.481
617,30.851,1.978
618,30.901,1.293
619,30.951,0.489
620,31.001,-0.36
621,31.051,-1.175
622,31.101,-1.883
623,31.151,-2.418
624,31.201,-2.73
625,31.251,-2.791
626,31.301,-2.596
627,31.351,-2.162
628,31.401,-1.529
629,31.451,-0.756
630,31.501,0.086
631,31.551,0.921
632,31.601,1.67
633,31.651,2.267
634,31.701,2.655
635,31.751,2.8
636,31.801,2.687
637,31.851,2.327
638,31.901,1.754
639,31.951,1.02
640,32.001,0.193
641,32.051,-0.652
642,32.101,-1.438
643,32.151,-2.091
644,32.201,-2.553
645,32.251,-2.78
646,32.301,-2.752
647,32.351,-2.472
648,32.401,-1.965
649,32.451,-1.278
650,32.501,-0.474
651,32.551,0.374
652,32.601,1.187
653,32.651,1.891
654,32.701,2.423
655,32.751,2.732
656,32.801,2.79
657,32.851,2.594
658,32.901,2.159
659,32.951,1.527
660,33.001,0.755
661,33.051,-0.086
662,33.101,-0.92
663,33.151,-1.669
664,33.201,-2.265
665,33.251,-2.654
666,33.301,-2.799
667,33.351,-2.689
668,33.401,-2.333
669,33.451,-1.763
670,33.501,-1.031
671,33.551,-0.206
672,33.601,0.638
673,33.651,1.424
674,33.701,2.08
675,33.751,2.545
676,33.801,2.778
677,33.851,2.756
678,33.901,2.483
679,33.951,1.982
680,34.001,1.301
681,34.051,0.501
682,34.101,-0.346
683,34.151,-1.16
684,34.201,-1.869
685,34.251,-2.406
686,34.301,-2.724
687,34.351,-2.793
688,34.401,-2.607
689,34.451,-2.183
690,34.501,-1.559
691,34.551,-0.794
692,34.601,0.045
693,34.651,0.879
694,34.701,1.633
695,34.751,2.237
696,34.801,2.638
697,34.851,2.798
698,34.901,2.703
699,34.951,2.361
700,35.001,1.803
701,35.051,1.082
702,35.101,0.261
703,35.151,-0.583
704,35.201,-1.374
705,35.251,-2.039
706,35.301,-2.519
707,35.351,-2.769
708,35.401,-2.767
709,35.451,-2.512
710,35.501,-2.029
711,35.551,-1.361
712,35.601,-0.568
713,35.651,0.275
714,35.701,1.094
715,35.751,1.813
716,35.801,2.367
717,35.851,2.706
718,35.901,2.797
719,35.951,2.635
720,36.001,2.232
721,36.051,1.626
722,36.101,0.873
723,36.151,0.04
724,36.201,-0.797
725,36.251,-1.561
726,36.301,-2.183
727,36.351,-2.607
728,36.401,-2.793
729,36.451,-2.725
730,36.501,-2.41
731,36.551,-1.875
732,36.601,-1.17
733,36.651,-0.359
734,36.701,0.485
735,36.751,1.285
736,36.801,1.968
737,36.851,2.472
738,36.901,2.752
739,36.951,2.781
740,37.001,2.558
741,37.051,2.102
742,37.101,1.456
743,37.151,0.677
744,37.201,-0.163
745,37.251,-0.988
746,37.301,-1.724
747,37.351,-2.303
748,37.401,-2.673
749,37.451,-2.8
750,37.501,-2.673
751,37.551,-2.304
752,37.601,-1.725
753,37.651,-0.991
754,37.701,-0.166
755,37.751,0.674
756,37.801,1.452
757,37.851,2.099
758,37.901,2.556
759,37.951,2.78
760,38.001,2.753
761,38.051,2.476
762,38.101,1.975
763,38.151,1.294
764,38.201,0.497
765,38.251,-0.346
766,38.301,-1.157
767,38.351,-1.863
768,38.401,-2.401
769,38.451,-2.721
770,38.501,-2.794
771,38.551,-2.615
772,38.601,-2.199
773,38.651,-1.584
774,38.701,-0.825
775,38.751,0.008
776,38.801,0.841
777,38.851,1.597
778,38.901,2.209
779,38.951,2.62
780,39.001,2.795
781,39.051,2.717
782,39.101,2.393
783,39.151,1.853
784,39.201,1.145
785,39.251,0.334
786,39.301,-0.508
787,39.351,-1.303
788,39.401,-1.981
789,39.451,-2.48
790,39.501,-2.754
791,39.551,-2.78
792,39.601,-2.554
793,39.651,-2.098
794,39.701,-1.452
795,39.751,-0.675
796,39.801,0.163
797,39.851,0.986
798,39.901,1.72
799,39.951,2.299
800,40.001,2.67
801,40.051,2.8
802,40.101,2.677
803,40.151,2.313
804,40.201,1.74
805,40.251,1.01
806,40.301,0.189
807,40.351,-0.649
808,40.401,-1.429
809,40.451,-2.079
810,40.501,-2.542
811,40.551,-2.776
812,40.601,-2.759
813,40.651,-2.494
814,40.701,-2.004
815,40.751,-1.333
816,40.801,-0.542
817,40.851,0.298
818,40.901,1.11
819,40.951,1.823
820,41.001,2.372
821,41.051,2.707
822,41.101,2.798
823,41.151,2.637
824,41.201,2.238
825,41.251,1.638
826,41.301,0.891
827,41.351,0.063
828,41.401,-0.77
829,41.451,-1.534
830,41.501,-2.16
831,41.551,-2.591
832,41.601,-2.789
833,41.651,-2.736
834,41.701,-2.437
835,41.751,-1.919
836,41.801,-1.228
837,41.851,-0.427
838,41.901,0.413
839,41.951,1.215
840,42.001,1.908
841,42.051,2.43
842,42.101,2.733
843,42.151,2.791
844,42.201,2.597
845,42.251,2.171
846,42.301,1.549
847,42.351,0.788
848,42.401,-0.044
849,42.451,-0.871
850,42.501,-1.621
851,42.551,-2.224
852,42.601,-2.628
853,42.651,-2.796
854,42.701,-2.713
855,42.751,-2.387
856,42.801,-1.846
857,42.851,-1.139
858,42.901,-0.331
859,42.951,0.508
860,43.001,1.3
861,43.051,1.976
862,43.101,2.475
863,43.151,2.752
864,43.201,2.782
865,43.251,2.562
866,43.301,2.113
867,43.351,1.474
868,43.401,0.703
869,43.451,-0.131
870,43.501,-0.953
871,43.551,-1.689
872,43.601,-2.275
873,43.651,-2.656
874,43.701,-2.799
875,43.751,-2.692
876,43.801,-2.343
877,43.851,-1.785
878,43.901,-1.067
879,43.951,-0.253
880,44.001,0.583
881,44.051,1.367
882,44.101,2.029
883,44.151,2.509
884,44.201,2.764
885,44.251,2.772
886,44.301,2.532
887,44.351,2.066
888,44.401,1.414
889,44.451,0.636
890,44.501,-0.198
891,44.551,-1.015
892,44.601,-1.742
893,44.651,-2.312
894,44.701,-2.676
895,44.751,-2.8
896,44.801,-2.674
897,44.851,-2.309
898,44.901,-1.738
899,44.951,-1.011
900,45.002,-0.195
901,45.052,0.64
902,45.102,1.417
903,45.152,2.067
904,45.202,2.533
905,45.252,2.772
906,45.302,2.764
907,45.352,2.51
908,45.402,2.031
909,45.452,1.371
910,45.502,0.588
911,45.552,-0.247
912,45.602,-1.06
913,45.652,-1.778
914,45.702,-2.337
915,45.752,-2.688
916,45.802,-2.8
917,45.852,-2.661
918,45.902,-2.285
919,45.952,-1.706
920,46.002,-0.974
921,46.052,-0.155
922,46.102,0.677
923,46.152,1.449
924,46.202,2.092
925,46.252,2.548
926,46.302,2.777
927,46.352,2.759
928,46.402,2.495
929,46.452,2.009
930,46.502,1.343
931,46.552,0.559
932,46.602,-0.276
933,46.652,-1.086
934,46.702,-1.799
935,46.752,-2.352
936,46.802,-2.695
937,46.852,-2.799
938,46.902,-2.654
939,46.952,-2.272
940,47.002,-1.688
941,47.052,-0.954
942,47.102,-0.136
943,47.152,0.695
944,47.202,1.464
945,47.252,2.103
946,47.302,2.555
947,47.352,2.779
948,47.402,2.756
949,47.452,2.489
950,47.502,2.0
951,47.552,1.333
952,47.602,0.548
953,47.652,-0.285
954,47.702,-1.094
955,47.752,-1.805
956,47.802,-2.356
957,47.852,-2.697
958,47.902,-2.799
959,47.952,-2.652
960,48.002,-2.27
961,48.052,-1.686
962,48.102,-0.953
963,48.152,-0.135
964,48.202,0.695
965,48.252,1.463
966,48.302,2.101
967,48.352,2.553
968,48.402,2.778
969,48.452,2.757
970,48.502,2.492
971,48.552,2.005
972,48.602,1.34
973,48.652,0.557
974,48.702,-0.276
975,48.752,-1.084
976,48.802,-1.796
977,48.852,-2.349
978,48.902,-2.693
979,48.952,-2.799
980,49.002,-2.657
981,49.052,-2.28
982,49.102,-1.7
983,49.152,-0.97
984,49.202,-0.154
985,49.252,0.676
986,49.302,1.445
987,49.352,2.087
988,49.402,2.544
989,49.452,2.775
990,49.502,2.761
991,49.552,2.503
992,49.602,2.023
993,49.652,1.364
994,49.702,0.585
995,49.752,-0.247
996,49.802,-1.056
997,49.852,-1.772
998,49.902,-2.331
999,49.952,-2.684
1000,50.002,-2.8
1001,50.052,-2.668
1002,50.102,-2.3
1003,50.152,-1.729
1004,50.202,-1.005
1005,50.252,-0.192
1006,50.302,0.637
1007,50.352,1.411
1008,50.402,2.059
1009,50.452,2.526
1010,50.502,2.769
1011,50.552,2.768
1012,50.602,2.523
1013,50.652,2.054
1014,50.702,1.405
1015,50.752,0.631
1016,50.802,-0.198
1017,50.852,-1.01
1018,50.902,-1.733
1019,50.952,-2.302
1020,51.002,-2.669
1021,51.052,-2.8
1022,51.102,-2.684
1023,51.152,-2.331
1024,51.202,-1.773
1025,51.252,-1.058
1026,51.302,-0.25
1027,51.352,0.58
1028,51.402,1.359
1029,51.452,2.018
1030,51.502,2.499
1031,51.552,2.76
1032,51.602,2.777
1033,51.652,2.55
1034,51.702,2.098
1035,51.752,1.461
1036,51.802,0.696
1037,51.852,-0.131
1038,51.902,-0.946
1039,51.952,-1.678
1040,52.002,-2.262
1041,52.052,-2.646
1042,52.102,-2.798
1043,52.152,-2.704
1044,52.202,-2.371
1045,52.252,-1.83
1046,52.302,-1.128
1047,52.352,-0.327
1048,52.402,0.503
1049,52.452,1.289
1050,52.502,1.962
1051,52.552,2.461
1052,52.602,2.745
1053,52.652,2.786
1054,52.702,2.583
1055,52.752,2.153
1056,52.802,1.534
1057,52.852,0.779
1058,52.902,-0.043
1059,52.952,-0.862
1060,53.002,-1.605
1061,53.052,-2.207
1062,53.102,-2.615
1063,53.152,-2.794
1064,53.202,-2.726
1065,53.252,-2.42
1066,53.302,-1.901
1067,53.352,-1.215
1068,53.402,-0.422
1069,53.452,0.407
1070,53.502,1.201
1071,53.552,1.889
1072,53.602,2.412
1073,53.652,2.723
1074,53.702,2.795
1075,53.752,2.621
1076,53.802,2.218
1077,53.852,1.62
1078,53.902,0.88
1079,53.952,0.063
1080,54.002,-0.759
1081,54.052,-1.515
1082,54.102,-2.138
1083,54.152,-2.574
1084,54.202,-2.784
1085,54.252,-2.75
1086,54.302,-2.475
1087,54.352,-1.983
1088,54.402,-1.317
1089,54.452,-0.537
1090,54.502,0.291
1091,54.552,1.094
1092,54.602,1.8
1093,54.652,2.349
1094,54.702,2.692
1095,54.752,2.8
1096,54.802,2.662
1097,54.852,2.291
1098,54.902,1.72
1099,54.952,0.998
1100,55.002,0.189
1101,55.052,-0.636
1102,55.102,-1.406
1103,55.152,-2.053
1104,55.202,-2.52
1105,55.252,-2.767
1106,55.302,-2.772
1107,55.352,-2.534
1108,55.402,-2.075
1109,55.452,-1.434
1110,55.502,-0.669
1111,55.552,0.156
1112,55.602,0.966
1113,55.652,1.692
1114,55.702,2.27
1115,55.752,2.65
1116,55.802,2.799
1117,55.852,2.702
1118,55.902,2.37
1119,55.952,1.831
1120,56.002,1.132
1121,56.052,0.334
1122,56.102,-0.493
1123,56.152,-1.277
1124,56.202,-1.949
1125,56.252,-2.451
1126,56.302,-2.74
1127,56.352,-2.789
1128,56.402,-2.595
1129,56.452,-2.174
1130,56.502,-1.564
1131,56.552,-0.818
1132,56.602,-0.0
1133,56.652,0.818
1134,56.702,1.564
1135,56.752,2.174
1136,56.802,2.595
1137,56.852,2.789
1138,56.902,2.74
1139,56.952,2.452
1140,57.002,1.951
1141,57.052,1.28
1142,57.102,0.497
1143,57.152,-0.329
1144,57.202,-1.126
1145,57.252,-1.825
1146,57.302,-2.366
1147,57.352,-2.7
1148,57.402,-2.799
1149,57.452,-2.654
1150,57.502,-2.279
1151,57.552,-1.705
1152,57.602,-0.983
1153,57.652,-0.175
1154,57.702,0.648
1155,57.752,1.414
1156,57.802,2.058
1157,57.852,2.522
1158,57.902,2.767
1159,57.952,2.772
1160,58.002,2.535
1161,58.052,2.078
1162,58.102,1.44
1163,58.152,0.677
1164,58.202,-0.144
1165,58.252,-0.953
1166,58.302,-1.68
1167,58.352,-2.26
1168,58.402,-2.644
1169,58.452,-2.798
1170,58.502,-2.709
1171,58.552,-2.385
1172,58.602,-1.854
1173,58.652,-1.161
1174,58.702,-0.368
1175,58.752,0.456
1176,58.802,1.242
1177,58.852,1.919
1178,58.902,2.43
1179,58.952,2.73
1180,59.002,2.793
1181,59.052,2.614
1182,59.102,2.208
1183,59.152,1.61
1184,59.202,0.873
1185,59.252,0.06
1186,59.302,-0.758
1187,59.352,-1.51
1188,59.402,-2.131
1189,59.452,-2.568
1190,59.502,-2.782
1191,59.552,-2.754
1192,59.602,-2.488
1193,59.652,-2.007
1194,59.702,-1.352
1195,59.752,-0.579
1196,59.802,0.243
1197,59.852,1.045
1198,59.902,1.756
1199,59.952,2.315
1200,60.002,2.673
1201,60.052,2.8
1202,60.102,2.684
1203,60.152,2.337
1204,60.202,1.787
1205,60.252,1.082
1206,60.302,0.284
1207,60.352,-0.539
1208,60.402,-1.315
1209,60.452,-1.977
1210,60.502,-2.469
1211,60.552,-2.746
1212,60.602,-2.786
1213,60.652,-2.586
1214,60.702,-2.161
1215,60.752,-1.55
1216,60.802,-0.805
1217,60.852,0.01
1218,60.902,0.823
1219,60.952,1.566
1220,61.002,2.173
1221,61.052,2.593
1222,61.102,2.788
1223,61.152,2.743
1224,61.202,2.46
1225,61.252,1.966
1226,61.302,1.301
1227,61.352,0.525
1228,61.402,-0.297
1229,61.452,-1.094
1230,61.502,-1.796
1231,61.552,-2.342
1232,61.602,-2.687
1233,61.652,-2.8
1234,61.702,-2.671
1235,61.752,-2.312
1236,61.802,-1.753
1237,61.852,-1.043
1238,61.902,-0.244
1239,61.952,0.577
1240,62.002,1.348
1241,62.052,2.003
1242,62.102,2.485
1243,62.152,2.752
1244,62.202,2.783
1245,62.252,2.574
1246,62.302,2.143
1247,62.352,1.527
1248,62.402,0.78
1249,62.452,-0.034
1250,62.502,-0.846
1251,62.552,-1.584
1252,62.602,-2.186
1253,62.652,-2.6
1254,62.702,-2.79
1255,62.752,-2.739
1256,62.802,-2.453
1257,62.852,-1.956
1258,62.902,-1.291
1259,62.952,-0.514
1260,63.002,0.307
1261,63.052,1.101
1262,63.102,1.801
1263,63.152,2.345
1264,63.202,2.688
1265,63.252,2.8
1266,63.302,2.671
1267,63.352,2.312
1268,63.402,1.755
1269,63.452,1.047
1270,63.502,0.248
1271,63.552,-0.571
1272,63.602,-1.341
1273,63.652,-1.996
1274,63.702,-2.48
1275,63.752,-2.75
1276,63.802,-2.784
1277,63.852,-2.58
1278,63.902,-2.153
1279,63.952,-1.542
1280,64.002,-0.798
1281,64.052,0.014
1282,64.102,0.825
1283,64.152,1.565
1284,64.202,2.171
1285,64.252,2.59
1286,64.302,2.787
1287,64.352,2.745
1288,64.402,2.468
1289,64.452,1.979
1290,64.502,1.32
1291,64.552,0.548
1292,64.602,-0.271
1293,64.652,-1.067
1294,64.702,-1.771
1295,64.752,-2.323
1296,64.802,-2.676
1297,64.852,-2.8
1298,64.902,-2.684
1299,64.952,-2.338
1300,65.002,-1.791
1301,65.052,-1.091
1302,65.102,-0.298
