Time (s) Auto	Angle (rad) Run #23
0.000	0.000
0.050	0.000
0.100	0.000
0.150	0.002
0.200	0.006
0.250	0.019
0.300	0.039
0.350	0.072
0.400	0.124
0.450	0.195
0.500	0.289
0.550	0.410
0.600	0.562
0.650	0.748
0.700	0.966
0.750	1.214
0.800	1.489
0.850	1.786
0.900	2.099
0.950	2.414
1.000	2.721
1.050	3.007
1.100	3.253
1.150	3.448
1.200	3.572
1.250	3.611
1.300	3.561
1.350	3.418
1.400	3.192
1.450	2.889
1.500	2.516
1.550	2.088
1.600	1.615
1.650	1.112
1.700	0.597
1.750	0.086
1.800	-0.405
1.850	-0.858
1.900	-1.257
1.950	-1.585
2.000	-1.832
2.050	-1.987
2.100	-2.045
2.150	-2.004
2.200	-1.866
2.250	-1.637
2.300	-1.324
2.350	-0.938
2.400	-0.492
2.450	0.003
2.500	0.531
2.550	1.078
2.600	1.630
2.650	2.176
2.700	2.700
2.750	3.187
2.800	3.619
2.850	3.977
2.900	4.235
2.950	4.378
3.000	4.392
3.050	4.277
3.100	4.045
3.150	3.712
3.200	3.302
3.250	2.832
3.300	2.320
3.350	1.780
3.400	1.227
3.450	0.677
3.500	0.146
3.550	-0.352
3.600	-0.800
3.650	-1.188
3.700	-1.505
3.750	-1.740
3.800	-1.890
3.850	-1.949
3.900	-1.921
3.950	-1.810
4.000	-1.619
4.050	-1.362
4.100	-1.043
4.150	-0.679
4.200	-0.278
4.250	0.148
4.300	0.583
4.350	1.023
4.400	1.456
4.450	1.876
4.500	2.271
4.550	2.636
4.600	2.964
4.650	3.247
4.700	3.479
4.750	3.649
4.800	3.751
4.850	3.781
4.900	3.737
4.950	3.621
5.000	3.442
5.050	3.204
5.100	2.917
5.150	2.589
5.200	2.224
5.250	1.832
5.300	1.423
5.350	1.005
5.400	0.591
5.450	0.190
5.500	-0.187
5.550	-0.531
5.600	-0.833
5.650	-1.082
5.700	-1.275
5.750	-1.404
5.800	-1.467
5.850	-1.461
5.900	-1.389
5.950	-1.253
6.000	-1.062
6.050	-0.820
6.100	-0.533
6.150	-0.210
6.200	0.141
6.250	0.514
6.300	0.897
6.350	1.288
6.400	1.678
6.450	2.059
6.500	2.424
6.550	2.765
6.600	3.072
6.650	3.341
6.700	3.558
6.750	3.712
6.800	3.793
6.850	3.793
6.900	3.712
6.950	3.555
7.000	3.327
7.050	3.039
7.100	2.700
7.150	2.315
