Time (s) Auto	Angle (rad) Run #28
18.700	0.179
18.750	0.154
18.800	0.159
18.850	0.195
18.900	0.232
18.950	0.267
19.000	0.316
19.050	0.394
19.100	0.460
19.150	0.492
19.200	0.515
19.250	0.529
19.300	0.518
19.350	0.492
19.400	0.445
19.450	0.402
19.500	0.372
19.550	0.352
19.600	0.349
19.650	0.375
19.700	0.412
19.750	0.440
19.800	0.463
19.850	0.498
19.900	0.523
19.950	0.531
20.000	0.537
20.050	0.550
20.100	0.569
20.150	0.603
20.200	0.639
20.250	0.677
20.300	0.724
20.350	0.784
20.400	0.823
20.450	0.828
20.500	0.836
20.550	0.844
20.600	0.826
20.650	0.800
20.700	0.781
20.750	0.760
20.800	0.738
20.850	0.723
20.900	0.723
20.950	0.754
21.000	0.822
21.050	0.920
21.100	1.045
21.150	1.153
21.200	1.219
21.250	1.227
21.300	1.178
21.350	1.090
21.400	0.994
21.450	0.919
21.500	0.883
21.550	0.886
21.600	0.895
21.650	0.960
21.700	1.043
21.750	1.095
21.800	1.142
21.850	1.175
21.900	1.178
21.950	1.173
22.000	1.153
22.050	1.167
22.100	1.241
22.150	1.340
22.200	1.401
22.250	1.367
22.300	1.285
22.350	1.232
22.400	1.211
22.450	1.217
22.500	1.250
22.550	1.260
22.600	1.236
22.650	1.224
22.700	1.219
22.750	1.181
22.800	1.178
22.850	1.195
22.900	1.199
22.950	1.169
23.000	1.123
23.050	1.065
23.100	0.968
23.150	0.870
23.200	0.767
23.250	0.729
23.300	0.771
23.350	0.815
23.400	0.828
23.450	0.842
23.500	0.870
23.550	0.859
23.600	0.806
23.650	0.732
23.700	0.664
23.750	0.630
23.800	0.653
23.850	0.702
23.900	0.740
23.950	0.748
24.000	0.710
24.050	0.647
24.100	0.597
24.150	0.586
24.200	0.628
24.250	0.696
24.300	0.745
24.350	0.765
24.400	0.740
24.450	0.680
24.500	0.619
24.550	0.564
24.600	0.514
24.650	0.479
24.700	0.471
24.750	0.495
24.800	0.550
24.850	0.617
24.900	0.677
24.950	0.743
25.000	0.796
25.050	0.818
25.100	0.807
25.150	0.781
25.200	0.759
25.250	0.740
25.300	0.716
25.350	0.729
25.400	0.743
25.450	0.685
25.500	0.669
25.550	0.719
25.600	0.795
25.650	0.844
25.700	0.847
25.750	0.858
25.800	0.859
